report,gold_idx,out_idx,choice_p,any_p,choice_confidence,level,gold_pot,out_pot,gold_typ,out_typ,gold_quote,out_quote
old_rep_4,,3,,,,overclaim,,Pottery,,,,"Op 16 en 17 maart 1967 werden tijdens grondwerkzaamheden op de per·
celen E 2283, 2284 en 5209 in de Uilegats te Heerlen"
old_rep_4,,9,,,,overclaim,,Grinding bowl,,,,"Hieronder bevonden zich de vol·
gen de soorten : terra sigillata van de typen Dragendorff 18/ 31, 33, 37, gevernist aard"
old_rep_4,,11,,,,overclaim,,Rough-walled pottery,,,,"Over het gehele perceel liggen dakpanfragmenten, ruwwandige en terra
sigillatascherven verspreid."
old_rep_5,4,4,0.870,0.740,0.840,same,Urn,Urns,,,"kommetjes, bekertjes, kruikjes, urntjes en andere voorwerpen voor den dag","Bij het wegnemen van den grond
door den excavateur kwamen uit de bovenlaag schaaltjes, kommetjes, bekertjes, kruikjes, u"
old_rep_5,2,2,0.680,0.530,0.610,different,Beaker,Beakers,,,"De voorwerpen, welke uit de tweede eeuw na Christus schijnen te dagteekenen,","Bij het wegnemen van den grond
door den excavateur kwamen uit de bovenlaag schaaltjes, kommetjes, bekertjes, kruikjes, u"
old_rep_5,0,,,0.470,0.390,missing,Dish,,,,"De voorwerpen, welke uit de tweede eeuw na Christus schijnen te dagteekenen,",
old_rep_5,1,,,0.490,0.530,missing,Bowl,,,,"De voorwerpen, welke uit de tweede eeuw na Christus schijnen te dagteekenen,",
old_rep_5,3,,,0.410,0.520,missing,Jug,,,,"De voorwerpen, welke uit de tweede eeuw na Christus schijnen te dagteekenen,",
old_rep_5,,0,,,,overclaim,,Dishes,,,,"Bij het wegnemen van den grond
door den excavateur kwamen uit de bovenlaag schaaltjes, kommetjes, bekertjes, kruikjes, u"
old_rep_5,,1,,,,overclaim,,Bowls,,,,"Bij het wegnemen van den grond
door den excavateur kwamen uit de bovenlaag schaaltjes, kommetjes, bekertjes, kruikjes, u"
old_rep_5,,3,,,,overclaim,,Jugs,,,,"Bij het wegnemen van den grond
door den excavateur kwamen uit de bovenlaag schaaltjes, kommetjes, bekertjes, kruikjes, u"
table_1,3,3,0.940,0.770,0.540,same,Coarse ware bowl,Coarse ware bowl,Niederbieber 104,NB 104,bowl,"Ware group
Fabric
Form
Type
N
MNI
MNI_r(ims)
Coarse oxidized
Eifel region (Mayen)
-
-
47
45
-
amphora
Mayen R19
1
1
1
bo"
table_1,0,0,0.930,0.700,0.920,same,amphora,Amphora,Mayen R19,Mayen R19,amphora,"Ware group
Fabric
Form
Type
N
MNI
MNI_r(ims)
Coarse oxidized
Eifel region (Mayen)
-
-
47
45
-
amphora
Mayen R19
1
1
1
bo"
table_1,4,4,0.870,0.740,0.530,same,Trier bowl,Trier bowl,"Trier III, 40a","Trier III, 40a",bowl,"Ware group
Fabric
Form
Type
N
MNI
MNI_r(ims)
Coarse oxidized
Eifel region (Mayen)
-
-
47
45
-
amphora
Mayen R19
1
1
1
bo"
table_1,32,19,0.870,0.740,0.530,same,Trier bowl,Trier bowl,"Trier III, 40a","Trier III, 40a",bowl,"Ware group
Fabric
Form
Type
N
MNI
MNI_r(ims)
Coarse oxidized
Eifel region (Mayen)
-
-
47
45
-
amphora
Mayen R19
1
1
1
bo"
table_1,1,1,0.850,0.760,0.640,same,Late Roman bowl,Late roman bowl,Alzey 28,Alzey 28,bowl,"Ware group
Fabric
Form
Type
N
MNI
MNI_r(ims)
Coarse oxidized
Eifel region (Mayen)
-
-
47
45
-
amphora
Mayen R19
1
1
1
bo"
table_1,14,8,0.850,0.760,0.640,same,Late Roman bowl,Late roman bowl,Alzey 28,Alzey 28,bowl,"Ware group
Fabric
Form
Type
N
MNI
MNI_r(ims)
Coarse oxidized
Eifel region (Mayen)
-
-
47
45
-
amphora
Mayen R19
1
1
1
bo"
table_1,20,11,0.850,0.730,0.480,same,Coarse ware bowl,Coarse ware bowl,Niederbieber 104 cf.,NB 104,bowl,"Ware group
Fabric
Form
Type
N
MNI
MNI_r(ims)
Coarse oxidized
Eifel region (Mayen)
-
-
47
45
-
amphora
Mayen R19
1
1
1
bo"
table_1,25,13,0.840,0.660,0.510,different,Late Roman bowl,Late roman bowl,Alzey 28 cf.,Alzey 28,bowl,"Ware group
Fabric
Form
Type
N
MNI
MNI_r(ims)
Coarse oxidized
Eifel region (Mayen)
-
-
47
45
-
amphora
Mayen R19
1
1
1
bo"
table_1,2,2,0.830,0.680,0.700,same,Late Roman storage vessel,Late roman storage vessel,Alzey 29,Alzey 29,bowl,"Ware group
Fabric
Form
Type
N
MNI
MNI_r(ims)
Coarse oxidized
Eifel region (Mayen)
-
-
47
45
-
amphora
Mayen R19
1
1
1
bo"
table_1,34,10,0.830,0.680,0.700,same,Late Roman storage vessel,Late roman storage vessel,Alzey 29,Alzey 29,bowl,"Ware group
Fabric
Form
Type
N
MNI
MNI_r(ims)
Coarse oxidized
Eifel region (Mayen)
-
-
47
45
-
amphora
Mayen R19
1
1
1
bo"
table_1,6,25,0.810,0.680,0.790,same,Bowl/Jar,Dolium,,,dolium,dolium
table_1,10,6,0.760,0.670,0.630,same,Late Roman storage jar,Late roman storage jar,Alzey 30,Alzey 30,jug,"Ware group
Fabric
Form
Type
N
MNI
MNI_r(ims)
Coarse oxidized
Eifel region (Mayen)
-
-
47
45
-
amphora
Mayen R19
1
1
1
bo"
table_1,12,7,0.760,0.730,0.740,review,Late Roman lid,Late roman lid,Alzey 34,Alzey 34,plate,"Ware group
Fabric
Form
Type
N
MNI
MNI_r(ims)
Coarse oxidized
Eifel region (Mayen)
-
-
47
45
-
amphora
Mayen R19
1
1
1
bo"
table_1,30,12,0.760,0.670,0.630,same,Late Roman storage jar,Late roman storage jar,Alzey 30,Alzey 30,jug,"Ware group
Fabric
Form
Type
N
MNI
MNI_r(ims)
Coarse oxidized
Eifel region (Mayen)
-
-
47
45
-
amphora
Mayen R19
1
1
1
bo"
table_1,29,16,0.750,0.680,0.740,different,Coarse ware cooking pot,Coarse ware cooking pot,Niederbieber 89,NB 89,jar,"Ware group
Fabric
Form
Type
N
MNI
MNI_r(ims)
Coarse oxidized
Eifel region (Mayen)
-
-
47
45
-
amphora
Mayen R19
1
1
1
bo"
table_1,26,14,0.720,0.840,0.710,different,Cheese strainer,Cheese strainer,FG1a,FG1a,cheese strainer,"Ware group
Fabric
Form
Type
N
MNI
MNI_r(ims)
Coarse oxidized
Eifel region (Mayen)
-
-
47
45
-
amphora
Mayen R19
1
1
1
bo"
table_1,22,17,0.700,0.640,0.490,different,Late Roman storage jar,Late roman storage jar,Alzey 30,Alzey 30,jar,"Ware group
Fabric
Form
Type
N
MNI
MNI_r(ims)
Coarse oxidized
Eifel region (Mayen)
-
-
47
45
-
amphora
Mayen R19
1
1
1
bo"
table_1,8,5,0.660,0.730,0.520,different,Late Roman cooking pot,Late roman cooking pot,Alzey 27,Alzey 27,jar,"Ware group
Fabric
Form
Type
N
MNI
MNI_r(ims)
Coarse oxidized
Eifel region (Mayen)
-
-
47
45
-
amphora
Mayen R19
1
1
1
bo"
table_1,16,9,0.660,0.730,0.520,different,Late Roman cooking pot,Late roman cooking pot,Alzey 27,Alzey 27,jar,"Ware group
Fabric
Form
Type
N
MNI
MNI_r(ims)
Coarse oxidized
Eifel region (Mayen)
-
-
47
45
-
amphora
Mayen R19
1
1
1
bo"
table_1,28,22,0.660,0.730,0.520,different,Late Roman cooking pot,Late roman cooking pot,Alzey 27,Alzey 27,jar,"Ware group
Fabric
Form
Type
N
MNI
MNI_r(ims)
Coarse oxidized
Eifel region (Mayen)
-
-
47
45
-
amphora
Mayen R19
1
1
1
bo"
table_1,38,15,0.660,0.730,0.520,different,Late Roman cooking pot,Late roman cooking pot,Alzey 27,Alzey 27,jar,"Ware group
Fabric
Form
Type
N
MNI
MNI_r(ims)
Coarse oxidized
Eifel region (Mayen)
-
-
47
45
-
amphora
Mayen R19
1
1
1
bo"
table_1,24,27,0.620,0.560,0.530,same,Jug,Jug,,,plate,jug
table_1,19,18,0.570,0.600,0.450,different,Late Roman storage vessel,Late roman storage vessel,Alzey 29,Alzey 29,plate,"Ware group
Fabric
Form
Type
N
MNI
MNI_r(ims)
Coarse oxidized
Eifel region (Mayen)
-
-
47
45
-
amphora
Mayen R19
1
1
1
bo"
table_1,31,20,0.570,0.600,0.450,different,Late Roman storage vessel,Late roman storage vessel,Alzey 29,Alzey 29,plate,"Ware group
Fabric
Form
Type
N
MNI
MNI_r(ims)
Coarse oxidized
Eifel region (Mayen)
-
-
47
45
-
amphora
Mayen R19
1
1
1
bo"
table_1,37,21,0.570,0.500,0.550,different,Late Roman dish,Late roman dish,Alzey 33 cf,Alzey 33,jar,"Ware group
Fabric
Form
Type
N
MNI
MNI_r(ims)
Coarse oxidized
Eifel region (Mayen)
-
-
47
45
-
amphora
Mayen R19
1
1
1
bo"
table_1,5,,,0.480,0.540,missing,Bowl,,,,bowl/jar,
table_1,7,,,0.410,0.420,missing,Bowl/Jar,,,,jar,
table_1,9,,,0.610,0.770,missing,Dolium,,,,jug,
table_1,11,,,0.460,0.460,missing,Jar,,,,plate,
table_1,13,,,0.510,0.430,missing,Jar,,,,bowl,
table_1,15,,,0.500,0.370,missing,Jar,,,,bowl/jar,
table_1,17,,,0.440,0.440,missing,Jar,,,,jug,
table_1,18,,,0.460,0.460,missing,Jar,,,,plate,
table_1,21,,,0.440,0.540,missing,Jar,,,,jar,
table_1,23,,,0.440,0.540,missing,Jar,,,,jar,
table_1,27,,,0.430,0.350,missing,Jug,,,,jar,
table_1,33,,,0.450,0.390,missing,Plate,,,,jar,
table_1,35,,,0.450,0.390,missing,Plate,,,,jar,
table_1,36,,,0.450,0.390,missing,Plate,,,,jar,
table_1,,23,,,,overclaim,,Amphora,,,,amphora
table_1,,24,,,,overclaim,,Bowl/jar,,,,bowl/jar
table_1,,26,,,,overclaim,,Jar,,,,jar
table_1,,28,,,,overclaim,,Plate,,,,plate
table_1,,29,,,,overclaim,,Bowl,,,,bowl
table_1,,30,,,,overclaim,,Bowl/jar,,,,bowl/jar
table_1,,31,,,,overclaim,,Jug,,,,jug
table_1,,32,,,,overclaim,,Plate,,,,plate
table_1,,33,,,,overclaim,,Jar,,,,jar
table_1,,34,,,,overclaim,,Jar,,,,jar
table_1,,35,,,,overclaim,,Plate,,,,plate
table_1,,36,,,,overclaim,,Jar,,,,jar
table_1,,37,,,,overclaim,,Jar,,,,jar
table_1,,38,,,,overclaim,,Jar,,,,jar
table_1,,39,,,,overclaim,,Jar,,,,jar
table_2,0,0,1.000,0.970,0.990,same,Pottery,Pottery,,,Romeinse tijd: aardewerk.,Romeinse tijd: aardewerk.
table_2,2,1,1.000,0.980,0.990,same,Pottery,Pottery,,,"Romeinse tijd: vermoedelijk een Romeinse villa, concentratie bouwpuin,aardewerk.","Romeinse tijd: vermoedelijk een Romeinse villa, concentratie bouwpuin, aardewerk."
table_2,3,2,1.000,0.970,0.980,same,Pottery,Pottery,,,"Romeinse tijd: vermoedelijk een Romeinse villa, concentratie bouwpuin, aardewerk","Romeinse tijd: vermoedelijk een Romeinse villa, concentratie bouwpuin, aardewerk."
table_2,4,3,1.000,0.980,0.990,same,Pottery,Pottery,,,"Romeinse tijd: vermoedelijk Romeinse villa, concentratie dakpanfragmenten,
aardewerk.","Romeinse tijd: vermoedelijk Romeinse villa, concentratie dakpanfragmenten, aardewerk."
table_2,5,4,1.000,0.980,0.980,same,Pottery,Pottery,,,"Romeinse tijd: vermoedelijk een Romeinse villa, concentratie bouwpuin, aardewerk","Romeinse tijd: vermoedelijk een Romeinse villa, concentratie bouwpuin, aardewerk."
table_2,10,10,1.000,0.970,0.970,same,Pottery,Pottery,,,"Romeinse tijd: aardewerk, bouwmateriaal.","ls, tubuli, mortel en vloerbeton.
500230
Veldprospectie (1976); NK: 150 m
Romeinse tijd: bouwmateriaal, vermoedelijk een"
table_2,8,8,0.990,0.930,0.980,same,Cooking pot,Cooking pots,,,"Romeinse tijd: aardewerk (terra sigillata, dolia, kookpotten, kruikwaar)","Romeinse tijd: aardewerk (terra sigillata, dolia, kookpotten, kruikwaar), bouwmateriaal vermoedelijk een Romeinse villa,"
table_2,6,6,0.980,0.970,0.980,same,Terra sigillata,Terra sigillata,,,"Romeinse tijd: aardewerk (terra sigillata, dolia, kookpotten, kruikwaar)","Romeinse tijd: aardewerk (terra sigillata, dolia, kookpotten, kruikwaar), bouwmateriaal vermoedelijk een Romeinse villa,"
table_2,7,7,0.980,0.910,0.980,same,Dolium,Dolia,,,"Romeinse tijd: aardewerk (terra sigillata, dolia, kookpotten, kruikwaar)","Romeinse tijd: aardewerk (terra sigillata, dolia, kookpotten, kruikwaar), bouwmateriaal vermoedelijk een Romeinse villa,"
table_2,1,5,0.970,0.910,0.960,different,Pottery,Pottery,,,"Rond het gebouw werden enkele paalgaten en kuilen teruggevonden, met in de kuilen aardewerk en bouwmateriaal.","Romeinse tijd: aardewerk (terra sigillata, dolia, kookpotten, kruikwaar), bouwmateriaal vermoedelijk een Romeinse villa,"
table_2,9,9,0.950,0.950,0.930,same,Flagon ware,Flagon ware,,,"Romeinse tijd: aardewerk (terra sigillata, dolia, kookpotten, kruikwaar)","Romeinse tijd: aardewerk (terra sigillata, dolia, kookpotten, kruikwaar), bouwmateriaal vermoedelijk een Romeinse villa,"
table_2,11,,,0.120,0.970,missing,Pottery,,,,"Late ijzertijd: kuil met brokken verbrande leem, houtskoolfragmenten en organische resten, 250-tal scherven uit bewoning",
table_2,12,,,0.090,0.960,missing,Handmade ware pot,,,,een aantal bodem- en wandscherven van een pot in handgemaakt aardewerk,
table_3,9,9,0.970,0.740,0.960,different,Cork ware,Cork ware,,,Cork ware,Cork ware
table_3,6,6,0.960,0.600,0.950,same,Dolium,Dolia,,,Dolia,Dolia
table_3,5,5,0.950,0.610,0.940,same,Amphora,Amphorae,,,Amphorae,Amphorae
table_3,10,10,0.940,0.600,0.920,different,Handmade pottery,Handmade pottery,,,Handmade pottery,Handmade pottery
table_3,7,7,0.940,0.650,0.930,different,Mortarium,Mortaria,,,Mortaria,Mortaria
table_3,8,8,0.940,0.680,0.930,different,Coarse ware,Coarse ware,,,Coarse ware,Coarse ware
table_3,2,2,0.930,0.750,0.910,different,Gallo-Belgic ware,Gallo-Belgic ware,,,Gallo-Belgic ware,Gallo-Belgic ware
table_3,3,3,0.930,0.640,0.920,different,Pompeian red ware,Pompeian red ware,,,Pompeian red ware,Pompeian red ware
table_3,4,4,0.930,0.710,0.920,different,Smooth ware,Smooth ware,,,Smooth ware,Smooth ware
table_3,0,0,0.920,0.740,0.910,different,Arretina,Arretina,,,Arretina,Arretina
table_3,1,1,0.920,0.630,0.900,different,Fine ware,Fine ware,,,Fine ware,Fine ware
table_4,12,11,0.990,0.920,0.990,same,Knidian wine amphora,Knidian wine amphora,Pompeii 38,Pompeii 38,Pompeii 38,"Lindhagen 2009; Carre et al. 2014)
wine
4
Dressel 2-5
wine
7
Camulodunum 184
Pompeii 38
unknown
unknown
wine
6
wine
1
wi"
table_4,19,15,0.990,0.860,0.980,same,Smooth-walled jug,Smooth-walled jug,Stuart 131/Oberaden 48-49,Stuart 131/ Oberaden 48,Stuartb 131/Oberadenb 48-49,"In addition, flagons Stuart 133/Oberaden 52 (fig. 2.14), Stuart 131/
Oberaden 48-49 (fig. 2.15) and the so-called 'honey"
table_4,23,27,0.990,0.850,0.990,same,Dolium,Dolia,,,dolia with a small twisted Wulstrand,"Furthermore, several
sherds of dolia with a small twisted Wulstrand were
found (fig. 2.19-20), which can be specifically"
table_4,21,17,0.980,0.820,0.970,same,Smooth-walled honey pot,Smooth-walled honey pot,Stuart 146,Stuart 146,honey pots' Stuartb 146b,"In addition, flagons Stuart 133/Oberaden 52 (fig. 2.14), Stuart 131/
Oberaden 48-49 (fig. 2.15) and the so-called 'honey"
table_4,22,23,0.980,0.890,0.980,same,pottery,Pottery,Stuart 147,Stuart 147,large handmade dolia Stuart 147,"In
addition, several fragments of large handmade dolia
Stuart 147 with a wheelthrown rim with a black coating."
table_4,24,28,0.970,0.820,0.970,same,Terra sigillata,Terra sigillata,,,terra sigillata,"Among
the tableware, the low proportion of terra sigillata is
striking; the tableware is strongly dominated by the
fine "
table_4,1,1,0.950,0.910,0.940,different,Baetica defrutum amphora,Baetica defrutum amphora,Haltern 70,Haltern 70,Haltern 70,"Region
Iberian Peninsula
Baetican mainland
Italy
Marismas
Baetican coast
Tarraconensis
Etruria
Adriatic
Aegean
Kos (Asia"
table_4,10,0,0.950,0.880,0.940,different,pottery,Pottery,Oberaden 83,Oberaden 83,Oberaden 83,"Region
Iberian Peninsula
Baetican mainland
Italy
Marismas
Baetican coast
Tarraconensis
Etruria
Adriatic
Aegean
Kos (Asia"
table_4,20,14,0.950,0.680,0.940,same,Flagon,Jug,Stuart 133/Oberaden 52,Stuart 133/Oberaden 52,flagons Stuartb 133/Oberadenb 52,"In addition, flagons Stuart 133/Oberaden 52 (fig. 2.14), Stuart 131/
Oberaden 48-49 (fig. 2.15) and the so-called 'honey"
table_4,13,20,0.940,0.920,0.930,same,Amphora,Amphora,,,unknown,"The amphora sherds give
a good picture of the contacts between Nijmegen and
other parts of the Roman Empire between 20 a"
table_4,4,3,0.900,0.910,0.890,different,Spanish fish sauce amphora,Spanish fish sauce amphora,Dressel 7,Dressel 7,Dressel 7,"Region
Iberian Peninsula
Baetican mainland
Italy
Marismas
Baetican coast
Tarraconensis
Etruria
Adriatic
Aegean
Kos (Asia"
table_4,17,18,0.890,0.860,0.870,same,pottery,Pottery,Oberaden 21,Oberaden 21,Oberadenb 21b plates in Pompeian red ware,"Rare are the Oberaden 21 plates in Pompeian red
ware (Niemeijer 2017, 17), which were used to bake
or heat food in an ov"
table_4,11,10,0.870,0.850,0.860,same,Coarse ware vessel,Coarse ware vessel,Camulodunum 184,Camulodunum 184,Camulodunum 184,"Lindhagen 2009; Carre et al. 2014)
wine
4
Dressel 2-5
wine
7
Camulodunum 184
Pompeii 38
unknown
unknown
wine
6
wine
1
wi"
table_4,15,6,0.870,0.880,0.850,different,Tarraconensian wine amphora,Tarraconensian wine amphora,Pascual 1,Pascual 1,Pascual 1,"Region
Iberian Peninsula
Baetican mainland
Italy
Marismas
Baetican coast
Tarraconensis
Etruria
Adriatic
Aegean
Kos (Asia"
table_4,16,19,0.870,0.680,0.850,same,Amphora,Amphora,Haltern 59,Haltern 59,mortaria with vertical rim Halternb 59,"On larger scale, sherds
of mortaria with vertical rim Haltern 59"
table_4,6,5,0.830,0.730,0.810,different,Spanish fish sauce amphora,Spanish fish sauce amphora,Dressel 12,Dressel 12,Dressel 12,"Region
Iberian Peninsula
Baetican mainland
Italy
Marismas
Baetican coast
Tarraconensis
Etruria
Adriatic
Aegean
Kos (Asia"
table_4,18,13,0.830,0.840,0.820,same,jug,Jug,Stuart 103/Oberaden 43,Stuart 103/ Oberaden 43,flagons Stuartb 103/Oberaden 43,"Flagon Stuart 103/
Oberaden 43 (fig. 2.13) is the best represented."
table_4,7,7,0.800,0.860,0.780,different,Italian wine amphora,Italian wine amphora,Dressel 1B,Dressel 1B,Dressel 1B,"Region
Iberian Peninsula
Baetican mainland
Italy
Marismas
Baetican coast
Tarraconensis
Etruria
Adriatic
Aegean
Kos (Asia"
table_4,8,8,0.780,0.790,0.760,different,Amphora,Adriatic wine amphora,Lamboglia 2/Dressel 6A,Lamboglia 2/Dressel 6A,Lamboglia2/Dressel6A,"Region
Iberian Peninsula
Baetican mainland
Italy
Marismas
Baetican coast
Tarraconensis
Etruria
Adriatic
Aegean
Kos (Asia"
table_4,3,2,0.760,0.900,0.550,different,Spanish fish sauce amphora,Spanish fish sauce amphora,Dressel 7-11,Dressel 7-11,Dressel 7-11,"Region
Iberian Peninsula
Baetican mainland
Italy
Marismas
Baetican coast
Tarraconensis
Etruria
Adriatic
Aegean
Kos (Asia"
